Time,Noise (dB)
2025-07-26 01:11:12.273628,45.0
2025-07-26 01:11:12.473619,45.0
2025-07-26 01:11:12.673610,45.0
2025-07-26 01:11:12.873602,45.0
2025-07-26 01:11:13.073593,44.0
2025-07-26 01:11:13.273585,44.0
2025-07-26 01:11:13.473576,46.0
2025-07-26 01:11:13.673567,46.0
2025-07-26 01:11:13.873559,45.0
2025-07-26 01:11:14.073550,44.0
2025-07-26 01:11:14.273541,45.0
2025-07-26 01:11:14.473533,45.0
2025-07-26 01:11:14.673524,45.0
2025-07-26 01:11:14.873516,44.0
2025-07-26 01:11:15.073507,44.0
2025-07-26 01:11:15.273498,45.0
2025-07-26 01:11:15.473490,45.0
2025-07-26 01:11:15.673481,46.0
2025-07-26 01:11:15.873472,44.0
2025-07-26 01:11:16.073464,44.0
2025-07-26 01:11:16.273455,43.0
2025-07-26 01:11:16.473446,44.0
2025-07-26 01:11:16.673438,45.0
2025-07-26 01:11:16.873429,47.0
2025-07-26 01:11:17.073421,46.0
2025-07-26 01:11:17.273412,45.0
2025-07-26 01:11:17.473403,45.0
2025-07-26 01:11:17.673395,44.0
2025-07-26 01:11:17.873386,45.0
2025-07-26 01:11:18.073377,55.0
2025-07-26 01:11:18.273369,54.0
2025-07-26 01:11:18.473360,48.0
2025-07-26 01:11:18.673352,46.0
2025-07-26 01:11:18.873343,45.0
2025-07-26 01:11:19.073334,45.0
2025-07-26 01:11:19.273326,45.0
2025-07-26 01:11:19.473317,42.0
2025-07-26 01:11:19.673308,44.0
2025-07-26 01:11:19.873300,45.0
2025-07-26 01:11:20.073291,44.0
2025-07-26 01:11:20.273283,43.0
2025-07-26 01:11:20.473274,45.0
2025-07-26 01:11:20.673265,47.0
2025-07-26 01:11:20.873257,45.0
2025-07-26 01:11:21.073248,45.0
2025-07-26 01:11:21.273239,44.0
2025-07-26 01:11:21.473231,46.0
2025-07-26 01:11:21.673222,45.0
2025-07-26 01:11:21.873213,46.0
2025-07-26 01:11:22.073205,47.0
2025-07-26 01:11:22.273196,48.0
2025-07-26 01:11:22.473188,47.0
2025-07-26 01:11:22.673179,47.0
2025-07-26 01:11:22.873170,47.0
2025-07-26 01:11:23.073162,47.0
2025-07-26 01:11:23.273153,47.0
2025-07-26 01:11:23.473144,48.0
2025-07-26 01:11:23.673136,48.0
2025-07-26 01:11:23.873127,46.0
2025-07-26 01:11:24.073119,56.0
2025-07-26 01:11:24.273110,59.0
2025-07-26 01:11:24.473101,61.0
2025-07-26 01:11:24.673093,58.0
2025-07-26 01:11:24.873084,55.0
2025-07-26 01:11:25.073075,54.0
2025-07-26 01:11:25.273067,56.0
2025-07-26 01:11:25.473058,55.0
2025-07-26 01:11:25.673049,56.0
2025-07-26 01:11:25.873041,55.0
2025-07-26 01:11:26.073032,56.0
2025-07-26 01:11:26.273024,57.0
2025-07-26 01:11:26.473015,57.0
2025-07-26 01:11:26.673006,58.0
2025-07-26 01:11:26.872998,60.0
2025-07-26 01:11:27.072989,58.0
2025-07-26 01:11:27.272980,56.0
2025-07-26 01:11:27.472972,56.0
2025-07-26 01:11:27.672963,55.0
2025-07-26 01:11:27.872955,56.0
2025-07-26 01:11:28.072946,56.0
2025-07-26 01:11:28.272937,55.0
2025-07-26 01:11:28.472929,57.0
2025-07-26 01:11:28.672920,56.0
2025-07-26 01:11:28.872911,58.0
2025-07-26 01:11:29.072903,59.0
2025-07-26 01:11:29.272894,60.0
2025-07-26 01:11:29.472886,59.0
2025-07-26 01:11:29.672877,60.0
2025-07-26 01:11:29.872868,59.0
2025-07-26 01:11:30.072860,59.0
2025-07-26 01:11:30.272851,58.0
2025-07-26 01:11:30.472842,57.0
2025-07-26 01:11:30.672834,56.0
2025-07-26 01:11:30.872825,56.0
2025-07-26 01:11:31.072816,58.0
2025-07-26 01:11:31.272808,58.0
2025-07-26 01:11:31.472799,58.0
2025-07-26 01:11:31.672791,58.0
2025-07-26 01:11:31.872782,57.0
2025-07-26 01:11:32.072773,58.0
2025-07-26 01:11:32.272765,57.0
2025-07-26 01:11:32.472756,56.0
2025-07-26 01:11:32.672747,56.0
2025-07-26 01:11:32.872739,56.0
2025-07-26 01:11:33.072730,56.0
2025-07-26 01:11:33.272722,56.0
2025-07-26 01:11:33.472713,56.0
2025-07-26 01:11:33.672704,58.0
2025-07-26 01:11:33.872696,58.0
2025-07-26 01:11:34.072687,57.0
2025-07-26 01:11:34.272678,57.0
2025-07-26 01:11:34.472670,56.0
2025-07-26 01:11:34.672661,57.0
2025-07-26 01:11:34.872652,57.0
2025-07-26 01:11:35.072644,57.0
2025-07-26 01:11:35.272635,57.0
2025-07-26 01:11:35.472627,58.0
2025-07-26 01:11:35.672618,58.0
2025-07-26 01:11:35.872609,59.0
2025-07-26 01:11:36.072601,60.0
2025-07-26 01:11:36.272592,60.0
2025-07-26 01:11:36.472583,59.0
2025-07-26 01:11:36.672575,58.0
2025-07-26 01:11:36.872566,56.0
2025-07-26 01:11:37.072558,57.0
2025-07-26 01:11:37.272549,57.0
2025-07-26 01:11:37.472540,56.0
2025-07-26 01:11:37.672532,56.0
2025-07-26 01:11:37.872523,57.0
2025-07-26 01:11:38.072514,59.0
2025-07-26 01:11:38.272506,60.0
2025-07-26 01:11:38.472497,59.0
2025-07-26 01:11:38.672489,59.0
2025-07-26 01:11:38.872480,59.0
2025-07-26 01:11:39.072471,59.0
2025-07-26 01:11:39.272463,59.0
2025-07-26 01:11:39.472454,62.0
2025-07-26 01:11:39.672445,60.0
2025-07-26 01:11:39.872437,58.0
2025-07-26 01:11:40.072428,59.0
2025-07-26 01:11:40.272419,58.0
2025-07-26 01:11:40.472411,58.0
2025-07-26 01:11:40.672402,59.0
2025-07-26 01:11:40.872394,59.0
2025-07-26 01:11:41.072385,59.0
2025-07-26 01:11:41.272376,59.0
2025-07-26 01:11:41.472368,59.0
2025-07-26 01:11:41.672359,58.0
2025-07-26 01:11:41.872350,57.0
2025-07-26 01:11:42.072342,55.0
2025-07-26 01:11:42.272333,55.0
2025-07-26 01:11:42.472325,55.0
2025-07-26 01:11:42.672316,56.0
2025-07-26 01:11:42.872307,57.0
2025-07-26 01:11:43.072299,55.0
2025-07-26 01:11:43.272290,56.0
2025-07-26 01:11:43.472281,57.0
2025-07-26 01:11:43.672273,57.0
2025-07-26 01:11:43.872264,57.0
2025-07-26 01:11:44.072255,56.0
2025-07-26 01:11:44.272247,56.0
2025-07-26 01:11:44.472238,56.0
2025-07-26 01:11:44.672230,56.0
2025-07-26 01:11:44.872221,57.0
2025-07-26 01:11:45.072212,58.0
2025-07-26 01:11:45.272204,58.0
2025-07-26 01:11:45.472195,59.0
2025-07-26 01:11:45.672186,58.0
2025-07-26 01:11:45.872178,57.0
2025-07-26 01:11:46.072169,56.0
2025-07-26 01:11:46.272161,55.0
2025-07-26 01:11:46.472152,57.0
2025-07-26 01:11:46.672143,58.0
2025-07-26 01:11:46.872135,57.0
2025-07-26 01:11:47.072126,59.0
2025-07-26 01:11:47.272117,60.0
2025-07-26 01:11:47.472109,59.0
2025-07-26 01:11:47.672100,60.0
2025-07-26 01:11:47.872092,61.0
2025-07-26 01:11:48.072083,60.0
2025-07-26 01:11:48.272074,57.0
2025-07-26 01:11:48.472066,58.0
2025-07-26 01:11:48.672057,57.0
2025-07-26 01:11:48.872048,55.0
2025-07-26 01:11:49.072040,57.0
2025-07-26 01:11:49.272031,56.0
2025-07-26 01:11:49.472022,58.0
2025-07-26 01:11:49.672014,59.0
2025-07-26 01:11:49.872005,60.0
2025-07-26 01:11:50.071997,59.0
2025-07-26 01:11:50.271988,59.0
2025-07-26 01:11:50.471979,58.0
2025-07-26 01:11:50.671971,57.0
2025-07-26 01:11:50.871962,57.0
2025-07-26 01:11:51.071953,56.0
2025-07-26 01:11:51.271945,55.0
2025-07-26 01:11:51.471936,55.0
2025-07-26 01:11:51.671928,57.0
2025-07-26 01:11:51.871919,58.0
2025-07-26 01:11:52.071910,59.0
2025-07-26 01:11:52.271902,59.0
2025-07-26 01:11:52.471893,59.0
2025-07-26 01:11:52.671884,59.0
2025-07-26 01:11:52.871876,57.0
2025-07-26 01:11:53.071867,58.0
2025-07-26 01:11:53.271858,56.0
2025-07-26 01:11:53.471850,57.0
2025-07-26 01:11:53.671841,56.0
2025-07-26 01:11:53.871833,56.0
2025-07-26 01:11:54.071824,58.0
2025-07-26 01:11:54.271815,60.0
2025-07-26 01:11:54.471807,59.0
2025-07-26 01:11:54.671798,60.0
2025-07-26 01:11:54.871789,59.0
2025-07-26 01:11:55.071781,59.0
2025-07-26 01:11:55.271772,58.0
2025-07-26 01:11:55.471764,57.0
2025-07-26 01:11:55.671755,57.0
2025-07-26 01:11:55.871746,58.0
