Time,Noise (dB)
2025-07-26 04:36:35.072000,39.0
2025-07-26 04:36:35.272000,43.0
2025-07-26 04:36:35.472000,47.0
2025-07-26 04:36:35.672000,50.0
2025-07-26 04:36:35.872000,50.0
2025-07-26 04:36:36.072000,50.0
2025-07-26 04:36:36.272000,49.0
2025-07-26 04:36:36.472000,49.0
2025-07-26 04:36:36.672000,50.0
2025-07-26 04:36:36.872000,51.0
2025-07-26 04:36:37.072000,51.0
2025-07-26 04:36:37.272000,51.0
2025-07-26 04:36:37.472000,49.0
2025-07-26 04:36:37.672000,50.0
2025-07-26 04:36:37.872000,52.0
2025-07-26 04:36:38.072000,51.0
2025-07-26 04:36:38.272000,52.0
2025-07-26 04:36:38.472000,51.0
2025-07-26 04:36:38.672000,52.0
2025-07-26 04:36:38.872000,52.0
2025-07-26 04:36:39.072000,52.0
2025-07-26 04:36:39.272000,52.0
2025-07-26 04:36:39.472000,52.0
2025-07-26 04:36:39.672000,53.0
2025-07-26 04:36:39.872000,54.0
2025-07-26 04:36:40.072000,54.0
2025-07-26 04:36:40.272000,54.0
2025-07-26 04:36:40.472000,50.0
2025-07-26 04:36:40.672000,51.0
2025-07-26 04:36:40.872000,50.0
2025-07-26 04:36:41.072000,51.0
2025-07-26 04:36:41.272000,50.0
2025-07-26 04:36:41.472000,50.0
2025-07-26 04:36:41.672000,50.0
2025-07-26 04:36:41.872000,51.0
2025-07-26 04:36:42.072000,51.0
2025-07-26 04:36:42.272000,51.0
2025-07-26 04:36:42.472000,51.0
2025-07-26 04:36:42.672000,50.0
2025-07-26 04:36:42.872000,51.0
2025-07-26 04:36:43.072000,52.0
2025-07-26 04:36:43.272000,51.0
2025-07-26 04:36:43.472000,52.0
2025-07-26 04:36:43.672000,52.0
2025-07-26 04:36:43.872000,51.0
2025-07-26 04:36:44.072000,51.0
2025-07-26 04:36:44.272000,51.0
2025-07-26 04:36:44.472000,51.0
2025-07-26 04:36:44.672000,51.0
2025-07-26 04:36:44.872000,50.0
2025-07-26 04:36:45.072000,50.0
2025-07-26 04:36:45.272000,52.0
2025-07-26 04:36:45.472000,52.0
2025-07-26 04:36:45.672000,51.0
2025-07-26 04:36:45.872000,50.0
2025-07-26 04:36:46.072000,51.0
2025-07-26 04:36:46.272000,52.0
2025-07-26 04:36:46.472000,52.0
2025-07-26 04:36:46.672000,50.0
2025-07-26 04:36:46.872000,50.0
2025-07-26 04:36:47.072000,51.0
2025-07-26 04:36:47.272000,51.0
2025-07-26 04:36:47.472000,51.0
2025-07-26 04:36:47.672000,51.0
2025-07-26 04:36:47.872000,51.0
2025-07-26 04:36:48.072000,50.0
2025-07-26 04:36:48.272000,50.0
2025-07-26 04:36:48.472000,51.0
2025-07-26 04:36:48.672000,51.0
2025-07-26 04:36:48.872000,52.0
2025-07-26 04:36:49.072000,51.0
2025-07-26 04:36:49.272000,50.0
2025-07-26 04:36:49.472000,52.0
2025-07-26 04:36:49.672000,51.0
2025-07-26 04:36:49.872000,52.0
2025-07-26 04:36:50.072000,51.0
2025-07-26 04:36:50.272000,50.0
2025-07-26 04:36:50.472000,51.0
2025-07-26 04:36:50.672000,53.0
2025-07-26 04:36:50.872000,53.0
2025-07-26 04:36:51.072000,52.0
2025-07-26 04:36:51.272000,50.0
2025-07-26 04:36:51.472000,49.0
2025-07-26 04:36:51.672000,50.0
2025-07-26 04:36:51.872000,50.0
2025-07-26 04:36:52.072000,51.0
2025-07-26 04:36:52.272000,49.0
2025-07-26 04:36:52.472000,49.0
2025-07-26 04:36:52.672000,50.0
2025-07-26 04:36:52.872000,50.0
2025-07-26 04:36:53.072000,50.0
2025-07-26 04:36:53.272000,51.0
2025-07-26 04:36:53.472000,50.0
2025-07-26 04:36:53.672000,49.0
2025-07-26 04:36:53.872000,50.0
2025-07-26 04:36:54.072000,52.0
2025-07-26 04:36:54.272000,52.0
2025-07-26 04:36:54.472000,51.0
2025-07-26 04:36:54.672000,51.0
2025-07-26 04:36:54.872000,52.0
2025-07-26 04:36:55.072000,51.0
2025-07-26 04:36:55.272000,51.0
2025-07-26 04:36:55.472000,52.0
2025-07-26 04:36:55.672000,51.0
2025-07-26 04:36:55.872000,50.0
2025-07-26 04:36:56.072000,51.0
2025-07-26 04:36:56.272000,52.0
2025-07-26 04:36:56.472000,52.0
2025-07-26 04:36:56.672000,51.0
2025-07-26 04:36:56.872000,51.0
2025-07-26 04:36:57.072000,50.0
2025-07-26 04:36:57.272000,50.0
2025-07-26 04:36:57.472000,51.0
2025-07-26 04:36:57.672000,51.0
